"Accession"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"	"F20"	"F21"	"F22"	"F23"	"F24"	"F25"	"F26"	"F27"	"F28"	"F29"	"F30"	"F31"	"F32"	"F33"	"F34"	"F35"	"F36"	"F37"	"F38"	"F39"	"F40"	"F41"	"F42"	"F43"	"F44"	"F45"	"F46"	"F47"	"F48"	"F49"	"F50"	"F51"	"F52"	"F53"	"F54"	"F55"	"F56"	"F57"	"F58"	"F59"	"F60"	"F61"	"F62"	"F63"	"F64"	"F65"	"F66"	"F67"	"F68"	"F69"	"F70"	"F71"	"F72"	"F73"	"F74"	"F75"	"F76"	"F77"	"F78"	"F79"	"F80"	"F81"	"F82"	"F83"	"F84"	"F85"	"F86"	"F87"	"F88"	"F89"	"F90"	"F91"	"F92"	"F93"	"F94"	"F95"	"F96"	"F97"	"F98"	"F99"	"F100"	"F101"	"F102"	"F103"	"F104"	"F105"	"F106"	"F107"	"F108"	"F109"	"F110"	"F111"	"F112"	"F113"	"F114"	"F115"	"F116"	"F117"	"F118"	"F119"	"F120"	"F121"	"F122"	"F123"	"F124"	"F125"	"F126"	"F127"	"F128"	"F129"	"F130"	"F131"	"F132"	"F133"	"F134"	"F135"	"F136"	"F137"	"F138"	"F139"	"F140"	"F141"	"F142"	"F143"	"F144"	"F145"	"F146"	"F147"	"F148"	"F149"	"F150"	"F151"	"F152"	"F153"	"F154"	"F155"	"F156"	"F157"	"F158"	"F159"	"F160"	"F161"	"F162"	"F163"	"F164"	"F165"	"F166"	"F167"	"F168"	"F169"	"F170"	"F171"	"F172"	"F173"	"F174"	"F175"	"F176"	"F177"	"F178"	"F179"	"F180"	"F181"	"F182"	"F183"	"F184"	"F185"	"F186"	"F187"	"F188"	"F189"	"F190"	"F191"	"F192"	"F193"	"F194"	"F195"	"F196"	"F197"	"F198"	"F199"	"F200"
"I3L136"	253760.969843743	NA	NA	NA	NA	NA	5158318.33586445	2166152.80612315	NA	NA	NA	NA	6517444.12460088	18259846.5419821	3246405.01791134	16233297.2903261	NA	11857945.0143987	13266776.3714398	NA	NA	2379098.30546392	3681128.07513218	NA	NA	9100881.79434891	9088189.3076157	339697.419438704	NA	NA	NA	19170189.3971283	12164979.8238269	3717490.62378942	NA	8524617.58816637	3297156.65418177	13843305.5254837	3569356.90832232	NA	NA	NA	NA	NA	1729380.48694896	NA	9793946.50863091	6535047.59950657	NA	NA	13486284.7823879	18542631.9625886	NA	14014863.9837771	10208761.8834734	15161103.8161349	15930930.1437791	NA	19106001.0560958	3812882.83172326	NA	NA	10869369.9494048	7832211.40105867	14408843.0430044	NA	9129526.08475287	15262068.2707877	14207076.2411143	6473759.28576432	NA	16970745.8082512	7001887.81549986	1367389.49346925	3377153.13536942	3462219.21941486	NA	NA	19729551.7960329	16749256.8621941	NA	NA	7394424.0868463	NA	NA	NA	NA	NA	19679471.2588625	NA	9961995.66281203	19101592.2502112	2149259.31192408	7026972.65684354	NA	15882952.415829	19513389.0638238	16612711.7546219	14793292.2875418	16355957.1865946	NA	NA	NA	8654629.19158794	NA	4961209.41816251	NA	13547254.0157076	NA	NA	8192997.22652151	1809696.08186854	NA	NA	1254283.19481432	NA	NA	2497801.55690828	NA	NA	9046073.96092381	13446765.2195297	NA	6154303.25673654	NA	12993024.8263717	16542149.623335	1138044.99725889	NA	NA	NA	12870521.541465	17034841.1208404	15101230.7148347	13883069.4605006	10648182.2108887	NA	17558188.7023675	7497699.65829657	17539295.2013259	12264415.4000314	NA	5745406.25628216	NA	8373290.77488274	16266958.8640107	17615536.6405565	NA	14710802.2443627	NA	6377167.20125242	NA	NA	NA	1745541.80685271	14876109.4339544	19525378.7028241	16492957.2389428	NA	8086074.94485536	19573964.5893514	NA	NA	12846486.1656476	10752810.5158317	9834028.46292741	6974283.03110652	NA	NA	NA	NA	10391637.4160527	NA	11575747.8761645	NA	NA	6467089.46996238	6722085.41497524	NA	NA	NA	10501696.7405451	4730893.98575569	NA	7732329.93072264	NA	NA	NA	13931809.6457644	9755361.44622546	NA	19223093.2452431	NA	NA	13901177.6492098	NA	NA	NA	NA	NA
"Q2V2M9"	4057306.25357311	562409.273156515	NA	NA	2547905.65335354	NA	14860890.1804995	NA	NA	NA	165819.093488218	566172.671018668	NA	NA	8185175.57583782	13308184.5401746	4393463.80035426	5006629.03522945	NA	NA	11247510.9566204	7321191.87269177	NA	16796804.4132988	5324708.21950508	16877871.8303113	15205554.5526722	19154790.5297799	6640060.98510265	NA	NA	NA	16857081.524518	NA	NA	NA	NA	NA	NA	14939283.8934349	NA	12215206.4751343	13047922.5190869	10701521.8127968	4643781.29499329	17952886.0839311	10592057.304081	9005568.15381282	NA	NA	5185168.31459286	15287015.4918957	10639718.159547	8753024.52421612	NA	NA	17609113.4667121	NA	7134380.3518853	NA	14057665.1570897	NA	12446489.0892905	13017135.8335997	NA	NA	NA	17877841.0333067	NA	9294475.29328137	NA	NA	14351994.8935836	19768485.417695	5725472.68772831	NA	NA	10981669.0324063	NA	NA	16953352.6394875	1898068.50623138	NA	2262057.45564526	12216661.6350844	4912774.83252423	NA	10646909.2915176	NA	16775520.2287795	10977092.3089921	NA	NA	2111022.9753223	5225114.52825656	NA	34188.143241678	NA	NA	14053025.8024545	NA	NA	NA	6979447.0043012	NA	NA	NA	11874381.8650415	NA	9207971.72706936	12159621.1570898	9042755.85286524	5753710.32725242	NA	NA	NA	NA	12771448.8190155	3333254.79268679	7876630.2842764	NA	1835298.13280561	NA	NA	10107339.5480574	5671480.00235631	467617.091543737	NA	NA	8565411.16484789	2175251.40185889	16058293.4582087	3262423.09304648	5407818.44120247	14340616.1445328	6538559.42085901	NA	NA	NA	NA	1608481.46921826	16696787.5068732	13246167.8494106	3987898.9835664	NA	NA	15656867.8932276	17584204.6085355	12420010.0918148	NA	NA	NA	NA	NA	NA	NA	NA	6050505.407903	NA	NA	NA	15173281.767545	16802267.4098885	NA	16626794.3384968	19087746.7675251	NA	18484493.6680698	3947833.45081248	NA	NA	11520726.848195	NA	10910588.3210814	20144888.5584214	NA	NA	1738265.08395586	3734730.5787518	NA	NA	NA	18849271.8460518	NA	10458939.8164136	4031428.82416864	1078258.30534491	3428188.58690674	NA	5418923.78655847	NA	NA	NA	17285464.3340673	7085632.20091226	17487649.0882465	12872574.0487073	NA	11553915.5566373	2198644.89093499
"D6RAJ7"	15667038.681029	NA	6216383.32580416	3659831.84212084	NA	5962868.65532427	NA	18317384.0488218	14423441.7372618	1348679.34173431	NA	11257404.0913971	NA	NA	NA	NA	10185915.2208209	5241311.47020256	1165442.66845575	5770822.84038532	NA	NA	4194986.85062021	NA	5680510.1805495	NA	NA	NA	NA	NA	NA	NA	18388866.6477799	NA	3576837.23265141	NA	NA	15279894.9663722	NA	17637528.9690061	NA	8461780.17715963	19472158.077395	NA	NA	11220112.6573031	NA	NA	9000691.89308682	NA	NA	18155913.0286516	NA	4923608.81557682	11793310.441382	7557859.1254133	11156833.672872	16175621.3209983	NA	NA	8831874.63802489	NA	NA	4693375.18158121	6943936.1869539	8651452.87220061	NA	1483999.17191866	5205665.06449408	NA	NA	1956190.82174708	7004767.66204185	10762385.9453889	9532984.49966174	12664402.654869	19216907.5960928	NA	993476.460071802	5341481.1621655	NA	16257369.8442113	NA	19042565.2318955	NA	NA	7652417.137066	20250553.766482	NA	NA	512019.74831689	NA	NA	NA	8085098.49357115	NA	NA	4725729.3368557	5446167.78713919	12343822.4139831	12791383.2012708	10300255.3145574	12628860.3743981	NA	10210984.0736444	12761267.2342045	10290541.3416178	NA	5993287.65243262	NA	NA	10330011.8206708	6063457.44637204	19749788.7134475	NA	NA	11633169.6185046	3778009.72792313	12466253.1652551	NA	19163422.6604398	NA	NA	2798312.26020004	10240328.0521451	NA	NA	19660164.9922837	6223430.80377617	2818788.07275342	1310670.17535654	11552370.5992575	NA	NA	12682784.2187221	NA	3024414.96974318	NA	NA	NA	15163553.1241865	12270747.3108317	3361745.47909344	18667984.8776376	16678589.7396247	NA	218166.836127525	16266787.6155393	1216667.76477958	NA	NA	11121800.8504173	NA	19839255.9089023	6949259.92162954	NA	4211642.8058496	NA	NA	1878968.58673252	637201.414894548	3256110.24474967	NA	NA	NA	NA	13301401.5627661	NA	3984889.74897328	12023652.90676	NA	16713318.5850983	3895805.0312786	NA	2722837.02321341	NA	14482890.395695	8112356.19383924	NA	9889610.70698859	NA	NA	NA	NA	NA	NA	10988279.6430988	17127401.9521925	9504337.45885164	NA	NA	NA	NA	15487668.4982582	NA	NA	NA	NA	13882817.0702894	6182278.82252609
"B2R4P2"	NA	7922365.37483185	4526836.77125013	NA	11302702.2575711	12966346.6005144	7450223.24183106	NA	NA	8509883.80994746	NA	4159103.18193436	NA	11803244.9226622	11141034.9402479	6242136.81562643	NA	16208157.1553502	NA	13088283.1256907	NA	17078812.2160483	19356033.0462047	4459773.80849568	6378069.47246495	NA	NA	NA	17871560.0573635	NA	NA	NA	NA	4431459.14808246	NA	14915805.6699604	NA	10158727.1039249	6369342.16728366	5735315.81079458	NA	NA	NA	NA	5180731.76672234	1441752.01034668	NA	13623213.8190589	2960893.56413358	7292179.36095822	10134267.6421272	NA	4111816.34363652	NA	NA	NA	NA	12855652.9933449	5929041.45770131	NA	18072986.5131475	18840530.3653343	17628728.0690471	4112837.98152416	13773391.7810329	20050985.3432883	12000326.4647818	8718455.00720111	14105167.5834515	19510968.7635158	1414112.18920513	NA	10766041.4397739	5316608.90627967	7053910.77228936	NA	NA	6174994.30522566	4855530.75785593	NA	NA	NA	NA	7902537.75877502	5654048.27080473	4554346.33353722	5208066.64015115	13878466.969873	7780081.16415396	NA	NA	1988777.8003295	NA	NA	16754766.9678164	NA	11750949.5567019	NA	NA	NA	7215505.55597777	NA	NA	NA	NA	6418976.75797917	11798818.3057564	NA	NA	15344812.9216334	11741749.2958669	20124763.9936704	NA	5849157.24828294	NA	17604830.5133219	16528432.6245873	5400117.28019708	9827478.78943414	NA	19860213.8609914	4189107.4863179	NA	19933441.7925066	8535785.75508285	18922487.3626714	238788.282210562	6595538.53339046	NA	14003717.7630079	16388293.8544252	NA	4198884.49970838	621254.13654602	12638518.7015773	5314897.32567901	2594370.35813769	NA	14816638.96737	NA	7939050.35683892	8520049.65843817	9854347.11689284	NA	16859222.7394962	14424771.2540909	NA	5054165.71794731	20264059.2504317	NA	NA	NA	9543614.55294641	18007480.061382	NA	NA	NA	NA	NA	4896487.81715615	NA	NA	NA	2836314.79800382	6017769.33161155	10893140.9531378	NA	10680245.7129488	10378167.6445566	12711652.2104122	12917511.3263819	NA	1525117.61534429	NA	8744885.05410927	NA	9320046.87086036	NA	NA	NA	NA	12660281.8659963	NA	NA	4099045.54646393	NA	16421577.2377475	18775726.6946829	NA	14659620.4074546	NA	10799287.202489	NA	15758389.7095968	NA	NA	NA	17990906.5612352	4532864.56707313	2927041.10845554
"V9HWE8"	18279266.2128503	NA	7239350.65412972	9469788.07024148	2221888.80645326	6726288.31631939	NA	NA	NA	13761274.8715086	14984808.1068297	18597176.7277552	NA	15279334.8780422	8554532.40442186	5254605.43459571	NA	6486930.83804995	NA	1006059.93935859	1293396.26382276	NA	17187832.3010053	5620116.34837469	4673116.62732104	NA	6494233.52801661	NA	NA	NA	NA	5068572.92112487	5067539.97231092	NA	6400225.27877469	1676132.05291519	14740972.5533637	18018697.7594016	4663863.95173919	10673603.2774877	NA	NA	12865210.8450469	11616448.4291613	NA	NA	NA	12828488.6926821	12005346.3081291	NA	NA	5379296.05850628	3622446.25182196	3778973.03150459	10519713.0095388	20337783.6730829	NA	5331296.34158255	NA	18772285.2228192	10751710.034554	NA	NA	8560628.57496101	NA	NA	8630329.94332749	17486727.4404702	16803511.6784025	NA	6298987.84393249	1939642.98888531	19150510.065079	NA	12365472.1741127	7110635.86244819	6068129.20155306	17395033.420077	NA	NA	NA	NA	NA	NA	NA	NA	4701906.02306248	NA	NA	13571117.0057749	NA	NA	NA	11537237.1080344	5620290.39007857	NA	NA	18123210.4806676	NA	2309822.78371846	NA	NA	7856919.38441678	NA	NA	17652157.1706485	NA	NA	7310582.42366077	872553.002745995	NA	NA	NA	NA	NA	16704922.6467559	11755148.8178026	14547297.1418163	16901921.3626309	NA	NA	NA	NA	NA	NA	NA	15582918.2703665	10421242.8401676	17733038.2690577	NA	NA	5559974.7255885	9185565.97165285	6116068.99959408	4898357.65079703	19092753.2775886	18391483.8495688	15211616.7904324	14434910.8833119	10851624.6667939	11937447.2694907	20204210.436455	1035352.8687985	NA	NA	5315337.62382852	11469641.7085245	NA	3185675.20316411	13090815.8833489	NA	NA	16932881.1999848	12929804.5616843	NA	17364494.7707843	18372734.5830613	15983141.97448	19495294.4843907	12081745.405589	NA	3241849.74100312	5041110.04912346	20427471.5624593	10329805.7019983	17579003.2003146	NA	17006374.9691986	1755703.03009296	NA	12324589.556601	13518284.6824954	NA	20122310.5600096	NA	15196839.6481111	10797932.5989104	NA	NA	19981286.1352755	NA	15995245.6268562	3303930.41915722	NA	2930050.73324469	NA	NA	NA	NA	7385207.97072886	8133595.12513634	9926384.79825149	16029096.8167764	16711039.0218357	13991380.5925844	16227762.3596711	14694563.9511548	NA	NA	NA
"Q8NHH4"	NA	14175369.8635894	8931272.07018838	NA	NA	NA	NA	808953.167734801	20188569.4667468	NA	NA	NA	NA	13654488.7206713	11017293.2540431	NA	NA	17656781.8167969	9952787.15075865	NA	NA	9992781.89624293	NA	17878573.4883528	NA	5654252.81917611	NA	7224578.33215683	6492213.72110487	NA	8673667.58383509	NA	3674914.28904156	NA	1005423.43922591	NA	NA	NA	NA	5259283.9040035	16295263.4316705	16376182.2315813	5023250.89113279	452678.341448002	7128529.07218001	NA	14466336.5576212	NA	13464679.0858585	NA	NA	10817054.0791191	NA	NA	7551641.41356996	NA	NA	19477976.3902945	NA	18333964.0205125	NA	8673688.92089593	NA	NA	NA	10585390.6717077	12433583.8124844	NA	16326987.4964959	NA	NA	12897242.7507457	5552478.94568992	NA	10395699.0236084	NA	NA	19521303.7429507	20164836.1169304	4967098.65632772	NA	NA	NA	NA	12433865.752907	NA	10257393.9939545	2055764.8461641	20224302.8671355	NA	17757929.9348166	NA	12185635.4215794	11480528.4299012	18513910.0660015	12660424.9727687	15866485.1536885	19598161.9869316	1372410.07438219	NA	NA	814475.421777338	6181581.27099052	NA	NA	NA	NA	1800415.14086712	NA	NA	9372815.33998745	NA	NA	13682982.7047103	NA	NA	3677767.43094808	NA	NA	8181206.13543901	16953384.7497655	NA	NA	14371038.824711	NA	7228188.60662899	NA	10264716.1604132	17044297.5263337	5010436.51096728	NA	NA	11413982.2008913	NA	2663194.88941077	3052191.98761491	NA	NA	17919328.9447858	NA	NA	NA	NA	NA	19909267.0025036	16804046.5990887	695368.693364728	2748955.631831	NA	NA	NA	5772697.370654	NA	9663477.86194004	10109110.8572012	NA	NA	17820168.5471923	NA	NA	18915261.3224318	NA	11247188.007547	18182788.7745933	NA	NA	11719792.1754712	NA	19191420.7624292	NA	9742959.48422743	3431344.49237994	NA	NA	8602093.3411538	16202899.9681312	NA	NA	NA	NA	NA	9729085.3697182	NA	659798.880281417	NA	NA	14913357.1137498	NA	364776.988377515	16055350.0049557	1766330.03318673	NA	NA	2854983.03697519	NA	5519352.57344238	1909517.47153326	1141330.34788508	14359918.1332307	NA
"B4E2K9"	19612014.9547195	6010561.46403815	6957470.33127765	11117812.2142773	NA	NA	NA	358001.158218211	9932150.14917787	NA	NA	14606789.8400573	18080829.6626806	3512795.95269506	NA	18663806.0780359	3737546.58065835	NA	1441587.75685291	NA	NA	162494.551953673	8060058.70559323	NA	8809435.44947068	NA	7682587.49365183	NA	NA	NA	NA	14790369.3528897	676500.031631203	266134.866278702	NA	NA	NA	NA	4415330.07169437	18048831.0283308	NA	NA	19304233.7954598	14194057.4696076	3934544.21159806	5586519.29978931	10892954.9961796	16414515.1750093	NA	NA	16385571.214056	1433180.45999933	NA	16635919.6483849	12854251.3235601	3072412.4025926	NA	NA	10918163.6771773	NA	2628972.34707579	NA	51575.359136663	NA	11196744.5690367	NA	9403195.14142895	NA	5935244.62284638	7067923.70617323	NA	NA	NA	NA	NA	12884086.6016862	14595141.0325288	19405176.5847161	NA	12994712.1481998	NA	NA	8794000.2225144	NA	12181032.8881254	NA	NA	NA	19002482.9635388	19155094.9683344	NA	9715233.74382394	17563532.6844102	NA	NA	NA	NA	NA	15846036.6643741	NA	NA	NA	3311641.39216516	NA	NA	7032557.33749204	NA	654099.001393425	17098431.6577658	NA	NA	NA	15609104.7826099	NA	14065888.6287878	10240800.4129878	NA	NA	7598496.50472148	NA	7855630.44797461	19966772.3609974	NA	12383759.6150703	10279350.3244413	5191804.1738234	6362765.60833238	NA	1690779.43602335	NA	13970271.6917344	NA	NA	1390642.90692985	NA	642769.921441849	12622660.1833081	NA	16599905.2545128	4725621.74268026	4578995.66852894	NA	8380433.99363621	8290502.38401402	NA	17079171.8816162	3469465.82584024	20433830.801257	11039581.7983796	NA	2862997.04002514	18691831.9838716	NA	NA	5814852.11762773	12486755.0114971	NA	NA	8606071.051805	2790344.67144345	NA	19514750.4530064	7335846.8979319	18565949.8583221	8708833.12528263	948134.263606972	NA	16815354.9558244	NA	NA	NA	20271200.9512274	8832906.88734108	NA	20279207.6928245	NA	14723277.9153421	5104701.23796169	4255624.18415035	NA	NA	5128811.22211468	NA	NA	15312879.8211824	7120577.20070977	3697479.85352391	823344.563214747	NA	11999246.502105	NA	974873.683621835	NA	NA	NA	10480918.6593078	13206109.7732076	NA	18695382.0016084	14927283.5811456
"Q9Y4D7"	9753515.324131	9425192.73276638	NA	NA	11684033.2933784	NA	NA	NA	18086806.1715184	NA	NA	NA	NA	NA	13041630.3559381	12539374.7873867	11091197.400033	15600853.354794	17547737.3112787	9059890.05042861	15271486.0897006	19403202.7590753	20006075.8884938	6669542.38398249	NA	15246290.5088208	NA	NA	14768468.7014727	359139.141140974	13555144.9071523	NA	NA	8051224.25829288	NA	NA	NA	17608346.50311	NA	13772046.2376157	NA	12490517.2625636	NA	8351250.42852933	NA	4981194.90658051	NA	10081576.4127796	13442223.8040974	NA	NA	NA	NA	NA	2603691.87000903	8495852.62250307	16935829.2023524	1309034.74484165	NA	NA	6642709.53105291	NA	NA	17116043.9073236	NA	NA	NA	NA	1715887.14190256	11632358.1487629	103339.197212744	2748611.28859491	NA	NA	7111042.52284501	5885257.00943241	NA	NA	4222388.40950189	NA	4943582.72659317	2696391.825279	NA	12359114.4532727	3260230.81949043	NA	NA	10510918.9951122	NA	NA	NA	NA	307452.471467131	NA	4062868.73587442	NA	NA	17762259.1454701	NA	1354151.45558727	NA	1986769.34241199	NA	NA	6248473.55629221	NA	NA	NA	NA	NA	15572034.865656	NA	NA	7072929.49294652	NA	NA	1587362.61836949	NA	NA	NA	11961507.2752427	17892161.855649	NA	6507405.40387943	3303399.64787262	NA	NA	NA	7007879.232681	3572833.86423213	12427990.7806892	NA	NA	5680434.35404092	7075567.63684169	16733085.0974088	6000451.88466974	18331017.6503063	17449167.5515091	NA	10526622.5960413	NA	NA	8859769.34282541	NA	18342483.6747882	4897442.26994967	19048931.6227009	NA	8356965.21100219	7534572.3549508	4913930.32668337	6508615.33514294	NA	NA	NA	NA	3458724.88550634	19776513.6628999	6342463.85651684	NA	20259166.9773931	NA	NA	9486896.71472352	5286004.18537905	NA	NA	NA	4360131.13812869	5397925.23980696	15943877.9567106	NA	7663087.13785864	17886007.1747396	NA	NA	NA	19169910.2071119	13096914.713883	13038307.5274593	NA	NA	NA	3938193.40098626	NA	NA	NA	NA	20020065.8341215	14297448.6342518	19394643.3238388	NA	10018209.1155671	12221667.298137	NA	8885963.01659347	NA	NA	NA
"O14597"	17155116.6243526	4870283.72705753	NA	NA	6467374.54622862	NA	6076410.38895383	NA	12396077.427964	17473532.4716644	11907274.8715134	NA	3617166.44275039	NA	NA	NA	NA	6331373.13875339	4885111.41879846	13097842.3335618	5966272.20679597	7609572.10476809	NA	NA	NA	16706292.9200359	6049628.84680191	17984756.7530177	NA	NA	NA	NA	NA	2457341.45983441	NA	NA	4014653.07400021	NA	NA	NA	10824678.8996991	18194741.6352387	8212825.56586854	NA	8191334.33953002	NA	NA	NA	NA	NA	NA	NA	NA	NA	11661066.6311719	8100833.63375971	NA	NA	NA	5036522.2336733	NA	1202727.30742864	16751806.8741303	NA	NA	12384208.863936	14619602.6689556	NA	6460031.11408648	11330162.1174495	11214246.2789149	6321306.86638559	8026800.84680128	923420.650957395	4943752.69978968	NA	NA	NA	NA	885789.536945729	3283699.3023397	NA	14847879.3699434	NA	19250501.308978	NA	NA	19988942.066851	12036514.7100183	NA	4652140.01719988	16300748.7312941	NA	19188972.0539471	NA	NA	NA	NA	NA	NA	NA	3060987.93398768	9893607.91316572	NA	20208059.8249564	NA	2383020.18953222	NA	NA	NA	8547136.77166477	NA	11544804.2604967	NA	8918867.68611988	13139272.3675496	12463285.0011732	NA	7230298.13483469	NA	835312.427373318	NA	4896729.62448969	NA	6895020.00424751	198515.35550936	NA	5799246.82230517	14540037.7636087	5582251.43080653	10683729.4259118	6052699.04238665	9865464.94376324	11192822.3423573	NA	NA	NA	NA	10896055.2368585	14043968.9624522	8675623.18446629	NA	NA	7353261.74636754	NA	9268651.02094796	721710.517902683	19659458.8992619	NA	NA	19471487.9870945	NA	1640544.71907853	929338.620874023	NA	NA	14733486.6901544	1599916.44751665	NA	NA	19086605.8390982	NA	9567028.86040816	20073513.9533517	17642551.3914539	NA	NA	18688367.9567741	NA	12529048.9442491	NA	12754833.3347278	NA	17386844.242803	NA	NA	17646510.472624	10258993.0505861	NA	8825016.9238016	2992418.03893218	10984950.975955	2031285.10844833	14301828.2563287	15960612.6363679	8388169.67271459	3449457.21116986	NA	9323585.65380663	NA	NA	14238909.7273745	NA	NA	10350388.3949539	NA	13614971.0802424	NA	NA	NA
"O95395"	NA	4499503.82025053	16025578.3620915	NA	1659991.08982372	NA	NA	NA	6315085.96159671	3344931.23751442	19112443.5827115	NA	NA	NA	11754118.9191795	14294175.998306	17243574.8204642	NA	599994.534376422	551659.75326849	9859949.14223063	10526641.4682053	9854782.4995241	887652.2328544	NA	3625653.0350504	NA	3344498.4435007	10245899.4470947	10165607.0926312	NA	NA	NA	7332032.82692949	NA	14604377.9575149	16783532.8661433	NA	NA	NA	16614760.4122473	NA	4910219.51963219	4914470.90045355	NA	NA	8173926.52889835	19177674.6274586	NA	NA	NA	NA	9858785.57291711	9551363.89840275	NA	480608.987109477	1622409.76863199	NA	NA	NA	NA	10792963.4477373	NA	NA	16139154.2997339	14435223.8252848	16678414.2703744	NA	15521821.0813005	7651873.72723688	NA	9912032.35099701	9371775.6483958	NA	NA	NA	NA	3939302.01927869	NA	2302233.83262202	NA	NA	NA	15322710.167708	19728762.2486461	18994373.352945	NA	15633064.4080545	NA	NA	5160833.74883341	19209913.0896109	NA	NA	3254666.6193749	NA	9886338.18524644	NA	15803805.615043	NA	5068948.64183178	3433311.1469791	NA	NA	NA	NA	3856179.57302525	8281459.64817062	6468309.79852248	17035900.3507844	NA	10801291.3016313	18612328.0585503	6819337.74923415	12192478.2417348	NA	NA	NA	NA	6445625.33845536	9175693.51726566	6204787.42314687	2721341.14012184	8407462.53463224	NA	14755445.680636	NA	NA	NA	11066471.33442	2382412.32122269	19721385.5403963	8287383.60902382	8263742.1170626	19457275.9199988	6569660.87557855	NA	NA	19718436.576814	606295.843339476	NA	NA	NA	9293167.14682256	NA	8284929.82799331	NA	4433306.69772337	NA	2341653.44343672	11499139.4432941	NA	NA	11521122.0025675	8197039.71923031	16160878.8442631	1932008.53712522	NA	14455827.9171615	10611155.3582525	14836611.9409642	1560185.89329415	17553434.9394018	NA	NA	NA	7271554.6981372	NA	NA	15778886.2691585	NA	NA	12546020.7488875	19902879.7885541	NA	15241812.2242508	NA	1383903.30789928	NA	1415375.10147563	NA	7703127.75516863	NA	9594951.44519071	NA	17350887.76449	17736991.9493437	NA	1268461.6098819	NA	8963869.65544087	18556676.2358754	NA	14559994.5964111	10341249.1664879	NA	NA	NA	153476.988512552	15180128.8084794
"V9HW76"	5031639.07789798	NA	19842916.7946543	NA	NA	6169539.11255654	NA	NA	NA	NA	NA	19146123.4480246	18264612.9054244	NA	NA	5067538.335391	17843483.5402479	7780816.86448899	NA	8129752.21293729	NA	5831628.14378847	NA	19776447.1868206	NA	NA	19499937.798088	NA	NA	NA	NA	7543590.87960653	NA	17213126.4206576	4692767.87477329	NA	14537026.982507	NA	NA	NA	NA	NA	12060838.9213076	NA	NA	NA	NA	14030075.4523453	5551664.20686681	NA	12049865.8952314	NA	13172350.2888709	19208537.7247485	17667271.7849491	20032737.0408957	NA	NA	16217629.991903	NA	NA	NA	3895635.04380661	2186729.47959124	5559259.67233353	NA	NA	NA	18349739.7030201	12533496.3700235	14724947.0359531	604806.498410616	10471125.1244464	NA	1989369.81335652	NA	NA	2516716.29032402	11767411.9175996	10287990.0924747	7350570.05520527	5456656.08982052	16979456.4920334	NA	NA	4247557.43801781	16821100.2259308	9541477.99652805	12834081.5626887	16372448.57427	3849345.65600117	19301035.4062045	15347176.9766114	NA	NA	16485383.25805	10433084.3474319	NA	8648612.56393662	11230256.8166049	NA	11052301.4513216	7934689.5069978	17514202.0326279	4308856.13002271	6794905.2870981	NA	9958405.25502788	NA	4821427.63453942	11230091.7684436	255311.566031998	NA	NA	15600355.8548585	NA	5993717.30584416	NA	NA	8965590.77681027	NA	19056308.2310224	4073358.83726428	11022782.9457513	20184337.1531874	13468291.458824	NA	15460757.1683422	18248785.0413359	NA	NA	6122239.28358607	NA	NA	10647776.1310274	6394906.80698694	15196982.6454383	15162809.4962102	NA	19883202.8024394	NA	NA	15013064.2568727	NA	NA	NA	15477804.5282554	15716791.7866302	NA	11463496.2019803	1832788.5632601	NA	NA	15166610.2815138	NA	5775689.19869749	NA	NA	14928800.235038	NA	11925450.0026339	2583557.65980257	NA	NA	NA	13562692.1405831	NA	NA	NA	NA	NA	3602382.49579097	8877366.63645499	NA	18595175.9690715	NA	15305814.6892193	14867860.3473146	NA	NA	NA	4679687.22864517	NA	4312197.9924541	NA	18311044.2769991	NA	NA	NA	11043815.2301837	7772725.59310856	NA	15918439.9594108	NA	12895237.1384041	5860608.82599482	NA	9365124.95219922	4323497.91239032	NA
